,pdbid,-logKd/Ki,resolution
3793,5mng,4.68,0.86
3794,5mnh,4.68,0.93
3795,5mo0,4.68,1.5
3796,5moq,4.68,0.93
3797,5op6,4.68,2.45
3798,5ti6,4.68,1.7
3799,5vdt,4.68,2.58
3800,5w99,4.68,1.59
3801,6bm6,4.68,1.5
3802,6bmv,4.68,2.05
3803,6fnt,4.68,1.9
3804,6ift,4.68,1.9
3805,6im6,4.68,1.7
3806,2rio,4.69,2.4
3807,3ujd,4.69,1.5
3808,4agp,4.69,1.5
3809,4j84,4.69,1.47
3810,4mgd,4.69,1.9
3811,4tpw,4.69,1.5
3812,4z89,4.69,2.64
3813,5jr6,4.69,2.3
3814,5khg,4.69,2.24
3815,5lch,4.69,1.94
3816,5szc,4.69,1.19
3817,5znp,4.69,2.8
3818,6itq,4.69,1.53
3819,6mg5,4.69,1.8
3820,6n93,4.69,1.7
3821,6rmm,4.69,3.53
3822,1agw,4.7,2.4
3823,1c5n,4.7,1.5
3824,1c86,4.7,2.3
3825,1fo2,4.7,2.38
3826,1gpy,4.7,2.4
3827,1h60,4.7,1.6
3828,1om2,4.7,NMR
3829,1v41,4.7,2.85
3830,1xos,4.7,2.28
3831,2c4w,4.7,1.55
3832,2cex,4.7,2.2
3833,2dw7,4.7,2.5
3834,2fu8,4.7,1.8
3835,2h9t,4.7,2.4
3836,2i2c,4.7,1.85
3837,2j9n,4.7,1.5
3838,2jc0,4.7,2.2
3839,2k62,4.7,NMR
3840,2mwo,4.7,NMR
3841,2qfo,4.7,1.68
3842,2r3h,4.7,1.5
3843,2xp6,4.7,1.9
3844,2y2p,4.7,1.62
3845,2y54,4.7,3.65
3846,2ybt,4.7,2.22
3847,3dg8,4.7,2.58
3848,3h21,4.7,2.32
3849,3ij1,4.7,2.1
3850,3k5i,4.7,2
3851,3kiv,4.7,1.8
3852,3kr0,4.7,2.6
3853,3lm1,4.7,2.1
3854,3nkk,4.7,1.12
3855,3p2k,4.7,2.7
3856,3pab,4.7,2.2
3857,3suw,4.7,1.9
3858,3tg5,4.7,2.3
3859,3uij,4.7,2.71
3860,3uqf,4.7,2.27
3861,3uxm,4.7,1.95
3862,4fic,4.7,2.5
3863,4huo,4.7,1.52
3864,4j7d,4.7,1.25
3865,4j93,4.7,1.74
3866,4luz,4.7,1.9
3867,4lzr,4.7,1.85
3868,4o7b,4.7,1.5
3869,4uiz,4.7,1.19
3870,4uy1,4.7,2.2
3871,5h85,4.7,1.7
3872,5ipa,4.7,1.78
3873,5ixq,4.7,1.86
3874,5lsc,4.7,1.5
3875,5lvn,4.7,1.38
3876,5mkx,4.7,1.68
3877,5mkz,4.7,1.62
3878,5nat,4.7,1.17
3879,5o1b,4.7,1.43
3880,5o48,4.7,1.69
3881,5o55,4.7,1.45
3882,5qb1,4.7,1.8
3883,5sxk,4.7,3.55
3884,5tdw,4.7,1.7
3885,5vfj,4.7,2.08
3886,5wbm,4.7,2.16
3887,5wg7,4.7,1.45
3888,6d3g,4.7,2.4
3889,6f8r,4.7,1.83
3890,6fba,4.7,2
3891,6fut,4.7,1.5
3892,6gch,4.7,2.1
3893,6gj6,4.7,1.76
3894,6gu4,4.7,2.73
3895,6iae,4.7,2.49
3896,6jbe,4.7,1.75
3897,6m7h,4.7,1.6
3898,6n94,4.7,1.75
3899,6p86,4.7,1.8
3900,6p8z,4.7,1.65
3901,6pgo,4.7,1.6
3902,6r13,4.7,1.65
3903,1v2t,4.71,1.9
3904,2ig0,4.71,1.7
3905,2ndg,4.71,NMR
3906,2qrh,4.71,1.83
3907,3fnm,4.71,1.7
3908,3gwu,4.71,2.14
3909,3h23,4.71,2.2
3910,3ny3,4.71,1.6
3911,3qs5,4.71,2.6
3912,4cu1,4.71,1.89
3913,4gvc,4.71,1.54
3914,4ljh,4.71,1.45
3915,4yb5,4.71,2.24
3916,5gwz,4.71,2.44
3917,5his,4.71,1.77
3918,5kma,4.71,1.55
3919,5nne,4.71,1.15
3920,5otc,4.71,2.2
3921,5wip,4.71,2.62
3922,6cd8,4.71,1.6
3923,6evn,4.71,1.48
3924,6ueg,4.71,2
3925,184l,4.72,1.8
3926,1h7a,4.72,2.75
3927,1qxz,4.72,1.68
3928,1urc,4.72,2.6
3929,1vso,4.72,1.85
3930,2o1c,4.72,1.8
3931,3b9g,4.72,1.4
3932,3cpj,4.72,2.35
3933,3d9k,4.72,2.2
3934,3ebo,4.72,1.9
3935,3f6g,4.72,2
3936,3f6h,4.72,2.7
3937,3f9w,4.72,1.6
3938,3oka,4.72,2.2
3939,3okp,4.72,2
3940,3omg,4.72,1.85
3941,3r6c,4.72,1.83
3942,4d1a,4.72,3.4
3943,4jxw,4.72,2.3
3944,4m5l,4.72,1.09
3945,4nan,4.72,1.8
3946,4o70,4.72,1.55
3947,4o7a,4.72,1.34
3948,4oyi,4.72,1.7
3949,4zw7,4.72,1.95
3950,5hjq,4.72,2.3
3951,5m51,4.72,1.9
3952,5wlg,4.72,2.1
3953,6asz,4.72,1.52
3954,6bed,4.72,2.75
3955,6bmx,4.72,2.42
3956,6.00E+49,4.72,2.9
3957,6g8q,4.72,1.85
3958,6n3e,4.72,1.89
3959,6pk7,4.72,3.1
3960,6qqw,4.72,1.8
3961,1m51,4.73,2.25
3962,1v2o,4.73,1.62
3963,1v2p,4.73,1.92
3964,3vp4,4.73,2.45
3965,4ayu,4.73,1.5
3966,4e5j,4.73,2.35
3967,5a3o,4.73,1.6
3968,5dgj,4.73,1
3969,5dp5,4.73,2.03
3970,5gmn,4.73,1.8
3971,5mw6,4.73,1.65
3972,5zop,4.73,2.7
3973,1br8,4.74,2.9
3974,1bty,4.74,1.5
3975,1ce5,4.74,1.9
3976,1qaq,4.74,2.8
3977,1ru1,4.74,1.4
3978,1w4p,4.74,1.69
3979,2e2p,4.74,2
3980,2ov4,4.74,2.5
3981,2uxu,4.74,2.3
3982,2vd4,4.74,1.9
3983,2w68,4.74,2.5
3984,2wa4,4.74,2.5
3985,2wyi,4.74,2.6
3986,2xg3,4.74,1.2
3987,2xzg,4.74,1.7
3988,3dnt,4.74,1.66
3989,3erk,4.74,2.1
3990,3f3u,4.74,2.5
3991,3g3d,4.74,1.7
3992,3gxt,4.74,2.7
3993,3hg1,4.74,3
3994,3jqg,4.74,1.9
3995,3kfn,4.74,1.77
3996,3lcv,4.74,2
3997,3llm,4.74,2.8
3998,3puk,4.74,3.05
3999,3qs8,4.74,2
4000,3rl7,4.74,2.3
4001,3ud7,4.74,2.8
4002,3zmz,4.74,3
4003,4cfm,4.74,2.85
4004,4ih6,4.74,2.2
4005,4jfi,4.74,1.05
4006,4jxs,4.74,1.9
4007,4kyk,4.74,2
4008,4m5m,4.74,1.12
4009,4nxq,4.74,2.1
4010,4o71,4.74,1.36
4011,4w55,4.74,1.64
4012,5ful,4.74,1.89
4013,5fum,4.74,2.5
4014,5k03,4.74,1.81
4015,5ov8,4.74,1.8
4016,5w0l,4.74,1.55
4017,5zmq,4.74,1.99
4018,6buv,4.74,1.86
4019,6dub,4.74,1.2
4020,6eq5,4.74,1.8
4021,6fse,4.74,2.7
4022,6i78,4.74,1.15
4023,6pf6,4.74,2.5
4024,6seo,4.74,2.55
4025,6szp,4.74,1.76
4026,6t1j,4.74,1.97
4027,3g2j,4.75,2.14
4028,3nim,4.75,2
4029,3vw2,4.75,2.34
4030,4ds1,4.75,1.85
4031,4mnx,4.75,1.85
4032,5lcf,4.75,1.86
4033,5yz7,4.75,1.9
4034,1q8t,4.76,2
4035,2cgw,4.76,2.2
4036,3acw,4.76,1.63
4037,3atl,4.76,1.74
4038,3hdk,4.76,1.8
4039,3o5n,4.76,1.83
4040,3rxe,4.76,1.7
4041,3twv,4.76,2.3
4042,4au7,4.76,2.07
4043,4cjn,4.76,1.95
4044,4oef,4.76,1.8
4045,4p7e,4.76,2.4
4046,4uub,4.76,2.9
4047,4wop,4.76,2.39
4048,4z8a,4.76,1.76
4049,5bqg,4.76,1.44
4050,5lne,4.76,2.2
4051,5lp6,4.76,2.9
4052,6c2x,4.76,2.6
4053,6g8j,4.76,1.47
4054,1h62,4.77,1.9
4055,1l5r,4.77,2.1
4056,1pxi,4.77,1.95
4057,1rti,4.77,3
4058,1str,4.77,1.8
4059,1uyk,4.77,2
4060,2afw,4.77,1.56
4061,2b2v,4.77,2.65
4062,2b4l,4.77,2
4063,2chw,4.77,2.6
4064,2dua,4.77,2
4065,2f0z,4.77,2.8
4066,2qn1,4.77,2.4
4067,2x4o,4.77,2.3
4068,2x4r,4.77,2.3
4069,2xk4,4.77,2.1
4070,2y1n,4.77,2
4071,3abt,4.77,3.2
4072,3cyy,4.77,2.4
4073,3d50,4.77,1.79
4074,3iqu,4.77,1.05
4075,3mkf,4.77,1.33
4076,3rm9,4.77,2.1
4077,3rqe,4.77,2.8
4078,3s1h,4.77,1.75
4079,3t3i,4.77,2.65
4080,3tiy,4.77,1.84
4081,3vbx,4.77,2.03
4082,3vv8,4.77,2.5
4083,4j09,4.77,1.9
4084,4kax,4.77,1.85
4085,4kox,4.77,1.8
4086,4odp,4.77,1.75
4087,4uoh,4.77,2.01
4088,5ccl,4.77,1.5
4089,5cwa,4.77,2.1
4090,5ho7,4.77,3
4091,5iyy,4.77,1.6
4092,5mkr,4.77,1.87
4093,5mks,4.77,1.99
4094,5nxx,4.77,2.2
4095,5o0j,4.77,1.81
4096,5o5a,4.77,1.6
4097,5orj,4.77,1.99
4098,5vkf,4.77,2.75
4099,5wbr,4.77,2.58
4100,5wqd,4.77,3
4101,5yba,4.77,2.06
4102,6bj3,4.77,1.9
4103,6f8x,4.77,1.95
4104,6fgg,4.77,1.1
4105,6mkw,4.77,2.32
4106,6prc,4.77,2.3
4107,6s7s,4.77,1.7
4108,6t1l,4.77,2
4109,2rr4,4.78,NMR
4110,4ad6,4.78,1.85
4111,5obj,4.78,2.9
4112,5zuj,4.78,2.6
4113,6bd1,4.78,2.35
4114,6c9n,4.78,2.1
4115,6czc,4.78,2.3
4116,6fbw,4.78,1.45
4117,1eed,4.79,2
4118,1oss,4.79,1.93
4119,2nsj,4.79,2.31
4120,3eb1,4.79,2.4
4121,3g2k,4.79,2
4122,4as9,4.79,2.71
4123,4j8b,4.79,1.88
4124,4k78,4.79,1.8
4125,5fwa,4.79,1.8
4126,5k1f,4.79,1.94
4127,5kgw,4.79,2.34
4128,6kmj,4.79,1.4
4129,6qxj,4.79,1.7
4130,1azg,4.8,NMR
4131,1bju,4.8,1.8
4132,1ghz,4.8,1.39
4133,1qxy,4.8,1.04
4134,1tsv,4.8,2.9
4135,1ybg,4.8,2.6
4136,2ly0,4.8,NMR
4137,2nta,4.8,2.1
4138,2r1x,4.8,1.6
4139,2vwv,4.8,1.9
4140,2y2j,4.8,2.06
4141,3bpc,4.8,1.85
4142,3dnd,4.8,2.26
4143,3iiy,4.8,2.65
4144,3iu7,4.8,1.4
4145,3kce,4.8,1.9
4146,3mlb,4.8,1.8
4147,3o2m,4.8,2.7
4148,3stj,4.8,2.6
4149,4aq6,4.8,1.98
4150,4bde,4.8,2.55
4151,4de7,4.8,3
4152,4dhs,4.8,1.74
4153,4dkt,4.8,2.98
4154,4llp,4.8,1.75
4155,4lzs,4.8,2.2
4156,4m7x,4.8,1.42
4157,4mk1,4.8,1.85
4158,4pb2,4.8,2.3
4159,5bpp,4.8,2.03
4160,5c6v,4.8,3.1
4161,5eko,4.8,2
4162,5j3l,4.8,1.66
4163,5jeo,4.8,1.72
4164,5jq7,4.8,2.69
4165,5jzi,4.8,2.5
4166,5k51,4.8,2.96
4167,5kgx,4.8,2.67
4168,6f6u,4.8,1.83
4169,6f8v,4.8,1.85
4170,6jap,4.8,1.77
4171,6pf4,4.8,2.85
4172,6qts,4.8,1.11
4173,1b4d,4.81,2
4174,1p5e,4.81,2.22
4175,2cgx,4.81,2.2
4176,4ago,4.81,1.45
4177,4yzn,4.81,1.55
4178,5cqj,4.81,2.15
4179,5iaw,4.81,2.58
4180,5iy4,4.81,2.95
4181,6bcy,4.81,2.3
4182,6hah,4.81,1.45
4183,6p84,4.81,1.7
4184,1aid,4.82,2.2
4185,1dud,4.82,2.3
4186,1f8e,4.82,1.4
4187,1njt,4.82,2.5
4188,1uy9,4.82,2
4189,1v1j,4.82,2.2
4190,1xff,4.82,1.8
4191,1y3p,4.82,2
4192,1ya4,4.82,3.2
4193,2a0t,4.82,NMR
4194,2gl0,4.82,2.25
4195,2gzl,4.82,2.5
4196,2hb9,4.82,1.75
4197,2hr6,4.82,1.84
4198,2ilp,4.82,1.9
4199,2jal,4.82,1.9
4200,2l0i,4.82,NMR
4201,2l11,4.82,NMR
4202,2ms4,4.82,NMR
4203,2pwg,4.82,2.2
4204,2xp8,4.82,2.1
4205,2xqq,4.82,1.31
4206,2ypi,4.82,2.5
4207,3ehw,4.82,1.8
4208,3fbr,4.82,3.5
4209,3ft5,4.82,1.9
4210,3h0v,4.82,2.24
4211,3kmx,4.82,1.7
4212,3kqy,4.82,2.2
4213,3lxo,4.82,1.55
4214,3qqk,4.82,1.86
4215,3r88,4.82,1.73
4216,3unk,4.82,2.1
4217,3vd4,4.82,2
4218,3wk5,4.82,2.77
4219,4ciw,4.82,2.2
4220,4dht,4.82,1.8
4221,4e5f,4.82,2.39
4222,4e6c,4.82,2.39
4223,4fys,4.82,2.01
4224,4hup,4.82,1.7
4225,4ie5,4.82,1.95
4226,4ih3,4.82,2.49
4227,4io6,4.82,1.6
4228,4kwf,4.82,2.31
4229,4pkr,4.82,2.2
4230,4pks,4.82,2.3
4231,4rlu,4.82,2.2
4232,5ayf,4.82,2.01
4233,5bnm,4.82,1.7
4234,5d7x,4.82,1.35
4235,5ewa,4.82,2.3
4236,5lvf,4.82,NMR
4237,5ocj,4.82,1.8
4238,5orl,4.82,1.69
4239,5wej,4.82,1.95
4240,6aox,4.82,2.1
4241,6as6,4.82,1.4
4242,6d17,4.82,1.45
4243,6eq6,4.82,2
4244,6h2t,4.82,1.67
4245,6nlj,4.82,1.65
4246,6q35,4.82,1.4
4247,6qlr,4.82,0.97
4248,6qri,4.82,2.4
4249,3a1s,4.83,1.5
4250,3a1t,4.83,1.8
4251,3cf9,4.83,2.6
4252,3ds0,4.83,1.6
4253,4k6y,4.83,1.48
4254,4nmo,4.83,1.4
4255,4pkt,4.83,2.4
4256,5dp6,4.83,3.01
4257,5efa,4.83,1.9
4258,5vjp,4.83,1.98
4259,1ftk,4.84,1.6
4260,1nhw,4.84,2.35
4261,1uyh,4.84,2.2
4262,3r0y,4.84,1.65
4263,3vvy,4.84,1.63
4264,4aif,4.84,2.01
4265,4ckj,4.84,1.65
4266,4kif,4.84,2.5
4267,4l7n,4.84,1.8
4268,4m5j,4.84,1.7
4269,4njd,4.84,2.5
4270,4uof,4.84,2.1
4271,4yje,4.84,1.9
4272,5d1r,4.84,2
4273,5e1b,4.84,1.65
4274,5kv8,4.84,1.95
4275,5vwi,4.84,1.75
4276,5wyq,4.84,2.16
4277,5xyx,4.84,2.61
4278,6gf3,4.84,2.4
4279,6jfk,4.84,2
4280,186l,4.85,1.8
4281,1bux,4.85,2.8
4282,1c83,4.85,1.8
4283,1ecv,4.85,1.95
4284,1jws,4.85,2.6
4285,1n51,4.85,2.3
4286,1o2p,4.85,1.47
4287,1qji,4.85,2.14
4288,1tkc,4.85,2.7
4289,1uu7,4.85,1.9
4290,1vkj,4.85,2.5
4291,1xgi,4.85,1.96
4292,1ymx,4.85,1.7
4293,2j4k,4.85,2.2
4294,2j87,4.85,3.1
4295,2ow7,4.85,1.77
4296,2p8o,4.85,1.5
4297,2qwd,4.85,2
4298,2r9x,4.85,1.9
4299,2w4x,4.85,2.42
4300,2ww2,4.85,1.9
4301,3cj2,4.85,1.75
4302,3f70,4.85,2.1
4303,3h52,4.85,2.8
4304,3ik1,4.85,2.25
4305,3k05,4.85,1.33
4306,3kpw,4.85,2.4
4307,3kqa,4.85,2.25
4308,3ohi,4.85,2.3
4309,3qnd,4.85,2.4
4310,3ru1,4.85,2.3
4311,3rv7,4.85,2.5
4312,3wp1,4.85,2.8
4313,3zyf,4.85,1.94
4314,4fyh,4.85,2.44
4315,4hpi,4.85,1.19
4316,4iic,4.85,1.9
4317,4ikn,4.85,1.85
4318,4j7e,4.85,1.63
4319,4lq9,4.85,2.04
4320,4nmt,4.85,1.4
4321,4ok6,4.85,2.4
4322,4ovh,4.85,2.25
4323,4q87,4.85,1.55
4324,4w57,4.85,1.68
4325,4wmx,4.85,2
4326,5abf,4.85,2.1
4327,5efc,4.85,1.9
4328,5ewk,4.85,1.6
4329,5f90,4.85,1.64
4330,5fbe,4.85,1.43
4331,5jsg,4.85,2.5
4332,5lyy,4.85,2.17
4333,5o1h,4.85,1.32
4334,5u5l,4.85,2.55
4335,5yc3,4.85,2.6
4336,6cq4,4.85,3.2
4337,6dxg,4.85,1.91
4338,6eqa,4.85,3.16
4339,6gga,4.85,1.55
4340,6gpb,4.85,2.86
4341,6m8e,4.85,2
4342,6ox0,4.85,1.76
4343,6qk8,4.85,2.92
4344,6qre,4.85,1.93
4345,2brb,4.86,2.1
4346,3g2i,4.86,2
4347,5djr,4.86,2.4
4348,5i40,4.86,1.04
4349,5myd,4.86,2.3
4350,5yfs,4.86,2.3
4351,6afg,4.86,1.5
4352,6gy5,4.86,1.09
4353,6jao,4.86,1.77
4354,1zd5,4.87,2.6
4355,2cgu,4.87,2.5
4356,3hfv,4.87,2.6
4357,3iw8,4.87,2
4358,3kjf,4.87,2
4359,3l3z,4.87,2
4360,4i2z,4.87,2.9
4361,4ipj,4.87,2.15
4362,4os4,4.87,2
4363,4q0k,4.87,1.34
4364,4rlw,4.87,2.2
4365,4rra,4.87,1.7
4366,4y3b,4.87,1.8
4367,5knv,4.87,2.86
4368,6apu,4.87,1.84
4369,6max,4.87,1.42
4370,2clx,4.88,1.8
4371,2ylo,4.88,2.5
4372,3exh,4.88,2.44
4373,3ij0,4.88,2.45
4374,3lp4,4.88,1.9
4375,3pjt,4.88,2.52
4376,3pju,4.88,2.5
4377,4l7o,4.88,2
4378,5alt,4.88,2.15
4379,5nwe,4.88,2
4380,6clv,4.88,2.3
4381,6g6x,4.88,1.13
4382,6jon,4.88,2.34
4383,1h0w,4.89,2.1
4384,1h61,4.89,1.4
4385,1h79,4.89,2.9
4386,1ilq,4.89,NMR
4387,1p1q,4.89,2
4388,1pxj,4.89,2.3
4389,1z6f,4.89,1.6
4390,2aoc,4.89,1.3
4391,2j77,4.89,2.1
4392,2lsk,4.89,NMR
4393,2vo5,4.89,2.3
4394,3cx9,4.89,2.8
4395,3d4z,4.89,1.39
4396,3hfz,4.89,2.9
4397,3juk,4.89,2.3
4398,3m8u,4.89,1.85
4399,3nij,4.89,2.1
4400,3njq,4.89,2
4401,3qs6,4.89,2.8
4402,4cd1,4.89,2
4403,4f14,4.89,1.2
4404,4l9i,4.89,2.32
4405,4o0j,4.89,2.05
4406,4o7f,4.89,1.8
4407,4pgh,4.89,2.8
4408,4pnu,4.89,1.9
4409,4qh8,4.89,1.9
4410,4wj7,4.89,2.75
4411,5hbn,4.89,1.6
4412,5ier,4.89,2.01
4413,5ii2,4.89,2.1
4414,5ipc,4.89,1.3
4415,5j7w,4.89,2.5
4416,5ku3,4.89,1.14
4417,5l3a,4.89,1.98
4418,5m4u,4.89,2.2
4419,5o9o,4.89,1.9
4420,5oha,4.89,1.55
4421,5prc,4.89,2.35
4422,5z7b,4.89,2.1
4423,6a05,4.89,2.2
4424,6a30,4.89,2.79
4425,6am8,4.89,1.83
4426,6cus,4.89,NMR
4427,6i0k,4.89,1.64
4428,6i5g,4.89,2
4429,6i68,4.89,1.85
4430,6jdl,4.89,2.25
4431,6qrc,4.89,1.73
4432,3cf8,4.9,2.4
4433,3k3j,4.9,2
4434,3oui,4.9,1.7
4435,4a9i,4.9,2.25
4436,4lil,4.9,2.6
4437,5npr,4.9,1.85
4438,5wfc,4.9,2.28
4439,6fnx,4.9,1.19
4440,6i4x,4.9,2.69
4441,1km3,4.91,1.5
4442,1n0t,4.91,2.1
4443,3ibc,4.91,2.75
4444,3juq,4.91,1.75
4445,3lpt,4.91,2
4446,3nin,4.91,2.1
4447,3rdv,4.91,1.75
4448,3t3d,4.91,2.5
4449,3te5,4.91,2.5
4450,4apo,4.91,1.9
4451,4c0r,4.91,1.55
4452,4rqi,4.91,2.44
4453,5l8a,4.91,1.57
4454,5xw6,4.91,3.1
4455,6dgr,4.91,2.15
4456,6iik,4.91,1.97
4457,1bzc,4.92,2.35
4458,1e1v,4.92,1.95
4459,1ff1,4.92,NMR
4460,1h1p,4.92,2.1
4461,1h4n,4.92,2
4462,1jqy,4.92,2.14
4463,1nlt,4.92,2.7
4464,1y2f,4.92,2
4465,2a58,4.92,2.8
4466,2c93,4.92,2.2
4467,2ggb,4.92,2.13
4468,2haw,4.92,1.75
4469,2n06,4.92,NMR
4470,2w70,4.92,1.77
4471,3azb,4.92,2.6
4472,3chd,4.92,2
4473,3dgq,4.92,1.6
4474,3eax,4.92,1.9
4475,3i6c,4.92,1.3
4476,3k15,4.92,2.8
4477,3ntp,4.92,1.76
4478,3rv8,4.92,2.29
4479,3rv9,4.92,2.14
4480,3s00,4.92,1.8
4481,3szb,4.92,1.51
4482,3ukr,4.92,2.48
4483,3vdc,4.92,2.55
4484,4b81,4.92,2.8
4485,4c73,4.92,1.8
4486,4g55,4.92,1.69
4487,4j47,4.92,1.35
4488,4n8d,4.92,1.65
4489,4re9,4.92,2.91
4490,4zlo,4.92,2.5
4491,5d3t,4.92,1.93
4492,5ehp,4.92,1.85
4493,5evk,4.92,1.63
4494,5ezg,4.92,1.84
4495,5f1j,4.92,1.63
4496,5gmi,4.92,2.71
4497,5lpl,4.92,1.65
4498,5m57,4.92,2.3
4499,5mxv,4.92,1.63
4500,5otr,4.92,1.52
4501,5u51,4.92,2.8
4502,5whc,4.92,2.55
4503,5x79,4.92,1.9
4504,5yc4,4.92,2.7
4505,5ytu,4.92,1.9
4506,6bg3,4.92,1.05
4507,6bh3,4.92,1.7
4508,6dq4,4.92,1.39
4509,6ful,4.92,1.65
4510,6hp0,4.92,1.88
4511,6j0o,4.92,1.8
4512,6pg9,4.92,1.75
4513,6qqv,4.92,1.71
4514,6r11,4.92,1.75
4515,6r18,4.92,1.35
4516,6r1c,4.92,1.5
4517,2wib,4.93,2.56
4518,2y7k,4.93,1.95
4519,3iqj,4.93,1.15
4520,3uxk,4.93,2.2
4521,3zmj,4.93,2.3
4522,4bdc,4.93,3
4523,4cxy,4.93,2.65
4524,4ido,4.93,2.09
4525,4lc7,4.93,1.7
4526,5t6j,4.93,1.75
4527,6azl,4.93,2.48
4528,1e2k,4.94,1.7
4529,1r2b,4.94,2.2
4530,2gss,4.94,1.9
4531,2vd0,4.94,2.2
4532,2vo4,4.94,1.75
4533,2vpe,4.94,1.7
4534,3dow,4.94,2.3
4535,4dmw,4.94,2.5
4536,4j5e,4.94,0.99
4537,4lbp,4.94,1.87
4538,4mnv,4.94,1.8
4539,4nms,4.94,1.7
4540,4p4s,4.94,3.3
4541,4qht,4.94,2.56
4542,4ts1,4.94,2.5
4543,5f32,4.94,2.05
4544,5h13,4.94,1.9
4545,5iee,4.94,1.92
4546,5yc2,4.94,2.7
4547,6f34,4.94,3.13
4548,6hmg,4.94,1.27
4549,1jn4,4.95,1.8
4550,2gh6,4.95,2.2
4551,2x95,4.95,1.96
4552,2z50,4.95,2.01
4553,3bpr,4.95,2.8
4554,3mxr,4.95,1.3
4555,3vp3,4.95,2.7
4556,4bup,4.95,2.17
4557,4cft,4.95,1.79
4558,4civ,4.95,2.9
4559,4f1q,4.95,2.8
4560,4nmv,4.95,1.4
4561,5gwy,4.95,2.85
4562,5w7i,4.95,2.11
4563,5yz2,4.95,1.75
4564,5zbz,4.95,1.31
4565,6msn,4.95,1.59
4566,1ao0,4.96,2.8
4567,1cea,4.96,2.06
4568,1dar,4.96,2.4
4569,1elr,4.96,1.9
4570,1gj5,4.96,1.73
4571,1nlp,4.96,NMR
4572,1o5g,4.96,1.75
4573,1pg2,4.96,1.75
4574,1pwq,4.96,3.52
4575,1t3t,4.96,1.9
4576,1tsy,4.96,2.2
4577,1uz8,4.96,1.8
4578,2c6i,4.96,1.8
4579,2pks,4.96,2.5
4580,2vjx,4.96,1.85
4581,2w67,4.96,2.25
4582,2xsb,4.96,2.11
4583,2yoh,4.96,1.6
4584,3bxg,4.96,1.8
4585,3d67,4.96,3.4
4586,3hxf,4.96,1.9
4587,3lbj,4.96,1.5
4588,3m5a,4.96,1.75
4589,3mmr,4.96,2.14
4590,3n2e,4.96,2.53
4591,3n87,4.96,2.4
4592,3udr,4.96,1.95
4593,3unj,4.96,1.9
4594,3veh,4.96,2
4595,3zsq,4.96,1.7
4596,4c16,4.96,1.93
4597,4j04,4.96,2
4598,4jsa,4.96,1.5
4599,4k5l,4.96,1.91
4600,4lbl,4.96,1.58
4601,4oym,4.96,1.7
4602,4pl5,4.96,3.4
4603,4qmx,4.96,1.88
4604,4rlt,4.96,2.05
4605,5ajo,4.96,1.48
4606,5al3,4.96,1.75
4607,5cyv,4.96,1.52
4608,5fjx,4.96,2.45
4609,5ioz,4.96,2.02
4610,5k05,4.96,2.14
4611,5sxn,4.96,2.1
4612,5sy2,4.96,2.25
4613,5ti7,4.96,1.65
4614,5xiw,4.96,2.9
4615,6gjw,4.96,1.9
4616,6i77,4.96,1.22
4617,6ibs,4.96,1.37
4618,6jwa,4.96,1.78
4619,6ob0,4.96,2.81
4620,6pf5,4.96,2.39
4621,6pg5,4.96,1.99
4622,6pia,4.96,1.75
4623,6r0v,4.96,1.6
4624,2ew6,4.97,2.2
4625,2kaw,4.97,NMR
4626,2wd7,4.97,1.9
4627,3lle,4.97,1.85
4628,3qbc,4.97,1.65
4629,3uik,4.97,2.7
4630,3zn0,4.97,2.8
4631,4c1c,4.97,1.18
4632,4c3k,4.97,3.1
4633,4e3g,4.97,1.55
4634,4in9,4.97,1.55
4635,4ozl,4.97,1.49
4636,5le1,4.97,1.4
4637,6aoy,4.97,1.8
4638,6arm,4.97,1.5
4639,6drt,4.97,2.12
4640,6f4x,4.97,1.69
4641,6f9r,4.97,1.85
4642,6haj,4.97,1.5
4643,6kjf,4.97,2.4
4644,6n92,4.97,1.7
4645,2gfa,4.98,2.1
4646,2h2h,4.98,2.2
4647,2rox,4.98,2
4648,2vr3,4.98,1.95
4649,2w47,4.98,1.4
4650,2y7w,4.98,2.89
4651,4jfl,4.98,1.2
4652,4mqp,4.98,1.83
4653,4re2,4.98,2
4654,4wv6,4.98,1.75
4655,5dlv,4.98,2
4656,6jof,4.98,2.2
4657,1j4p,4.99,NMR
4658,1k3n,4.99,NMR
4659,3gjs,4.99,1.9
4660,3hrf,4.99,1.9
4661,3wp0,4.99,2.04
4662,4b12,4.99,1.79
4663,4jht,4.99,1.18
4664,4qc1,4.99,1.99
4665,4tsx,4.99,1.94
4666,4w9d,4.99,2.2
4667,4xqa,4.99,1.41
4668,5gj9,4.99,2.1
4669,5v8p,4.99,2.5
4670,6gnw,4.99,1.75
4671,6o68,4.99,2.78
4672,6p85,4.99,1.9
4673,1c84,5,2.35
4674,1cp6,5,1.9
4675,1f8a,5,1.84
4676,1fgi,5,2.5
4677,1fv9,5,3
4678,1gsf,5,2.7
4679,1hlk,5,2.5
4680,1hqf,5,2.9
4681,1i6v,5,3.3
4682,1ih0,5,NMR
4683,1inf,5,2.4
4684,1jm4,5,NMR
4685,1jpl,5,2.4
4686,1kr3,5,2.5
4687,1nc3,5,2.2
4688,1nnb,5,2.8
4689,1o35,5,1.41
4690,1oai,5,1
4691,1pip,5,1.7
4692,1ql7,5,2.1
4693,1r6z,5,2.8
4694,1sbr,5,2.3
